rdate,LPERMNO,HBI,OBI,Market_Equity
2022-03-31,10026,-6.097470523131886e-08,-1.1963139751448866e-08,2973.7324917299998
2022-03-31,10028,-1.0169495777223866e-08,1.8051825113838992e-09,125.4705
2022-03-31,10032,-4.0773360949514345e-08,2.8455940470406366e-08,2298.61557
2022-03-31,10044,-3.267032751341734e-10,3.844998017994194e-09,46.93835
2022-03-31,10051,-1.4980199277733365e-08,4.762473143510777e-08,709.66428
2022-03-31,10066,-4.250074384084222e-10,6.4884640573410855e-09,46.20209
2022-03-31,10107,-3.8057467014899206e-07,4.542376156698455e-06,2307083.73
2022-03-31,10138,-6.469006592301096e-07,-4.568675950369561e-07,34442.5939
2022-03-31,10145,-7.487069677631061e-07,-2.95753441448852e-07,132457.02714000002
2022-03-31,10158,-9.958614306734548e-08,2.491292208170729e-07,2681.058
2022-03-31,10200,-3.223284295684915e-07,1.8552296429474943e-07,10425.640609999999
2022-03-31,10220,-1.58654454012852e-07,3.8171429499700787e-08,4925.604719999999
2022-03-31,10253,-2.9027111902990716e-09,6.049158218325985e-09,45.694458
2022-03-31,10257,-6.143494760015873e-09,1.416032510935691e-07,242.31836
2022-03-31,10258,-1.2199333415738377e-07,8.488548296215927e-08,1592.4412399999999
2022-03-31,10294,-1.5141799448853366e-08,1.3639252179824577e-08,35.257365
2022-03-31,10318,-7.834706311718302e-08,-2.8918813958229797e-08,4390.257199999999
2022-03-31,10333,-5.7371738416587714e-09,1.450954861162174e-07,319.2518
2022-03-31,10355,-7.910196144769277e-09,4.4361599047817265e-09,430.85817619
2022-03-31,10382,-2.389066055469528e-08,3.382137856013274e-08,981.991
2022-03-31,10397,-3.7430340331629215e-08,-5.075403375786529e-09,2667.378
2022-03-31,10421,-3.954822533972873e-08,3.679097751101122e-08,1457.5597000000002
2022-03-31,10443,-9.744477711747683e-09,5.551806857612426e-09,545.1696
2022-03-31,10463,-3.318786613416806e-09,4.574279857263849e-09,60.768
2022-03-31,10501,-2.615032454292862e-08,2.9314797780234605e-08,811.1504500000001
2022-03-31,10514,,6.333957331874563e-09,18.1011744
2022-03-31,10516,-4.202108065649832e-07,-6.617610444280187e-08,50741.19342
2022-03-31,10517,-4.432754755435342e-08,7.82661110791025e-08,1586.89566
2022-03-31,10530,-3.419421601487298e-08,3.9640732968931495e-08,1131.1031600000001
2022-03-31,10547,-1.7299335981923968e-07,-1.2767018645517496e-07,898.2750599999999
2022-03-31,10550,-7.207449581338293e-10,1.9767317575161136e-09,59.822070000000004
2022-03-31,10606,-9.490786238879743e-08,-3.281731363058419e-08,3830.2100100000002
2022-03-31,10645,-4.418705589582521e-09,8.0922142194499e-09,146.15104
2022-03-31,10649,-2.9197400046935034e-08,2.0996145784340857e-08,773.70875
2022-03-31,10661,-8.797987675314289e-10,2.7632708427048886e-09,20.900740000000003
2022-03-31,10693,-1.4453345892523654e-07,3.875740249751891e-08,7071.03618
2022-03-31,10696,-7.390993873455979e-07,-7.879733745779891e-08,66115.6392
2022-03-31,10779,-5.576543006847584e-10,2.122077045763375e-08,42.964949999999995
2022-03-31,10812,-3.7262206357569585e-08,-9.848857876560789e-09,1110.57324
2022-03-31,10860,-1.789054571839405e-08,2.130630873266487e-08,490.24146
2022-03-31,10866,-3.196765084933223e-08,7.566244277589189e-09,736.2796999999999
2022-03-31,10874,-1.88557461882514e-07,-5.392170964886666e-08,6197.30646
2022-03-31,10886,-6.506389633190312e-10,5.738192468470553e-08,46.3419
2022-03-31,10901,-7.1650069831371e-08,-2.6669547089065774e-08,385.48938897000005
2022-03-31,10909,-2.8949303092537546e-07,4.643764757516453e-08,27504.301
2022-03-31,10933,-3.5133780321727633e-07,-2.0799891118084874e-07,20038.18478417
2022-03-31,10966,-2.7944026810453254e-08,6.235649737654333e-08,333.26562
2022-03-31,11043,-7.293106417839334e-10,1.375345955855566e-09,38.571
2022-03-31,11144,-8.704622239612443e-09,1.0812802101933689e-08,628.8024
2022-03-31,11153,-7.745544611400361e-09,3.244235239158152e-08,106.17075
2022-03-31,11154,-3.6678914159035286e-08,1.4780625202371161e-08,1047.5411299999998
2022-03-31,11174,-1.1264444072830927e-08,2.6998894819208267e-08,518.8064
2022-03-31,11267,-5.384898870816172e-09,6.356477299744534e-09,290.61984
